run,cond,seed,map50,map5095,dd_ap50,gmacs,params_m
pr125_hlr_s0,pr125_hlr,0,0.7110618208660917,0.45132475812309336,0.4798944805194806,3.67,2.15
pr125_hlr_s1,pr125_hlr,1,0.6997302334677092,0.44965508576008006,0.5762280701754385,3.45,1.99
pr125_hlr_s2,pr125_hlr,2,0.6753472676974255,0.4291478842130239,0.5204765653911243,3.42,1.99
pr150_hlr_s0,pr150_hlr,0,0.6527867892970091,0.3894514632274148,0.5653076923076924,3.0,1.49
pr150_hlr_s1,pr150_hlr,1,0.6166086963410553,0.3646599789231984,0.49615162907268173,3.0,1.51
pr150_hlr_s2,pr150_hlr,2,0.6465263774728355,0.39053518517123786,0.5167815249266863,3.0,1.51
pr150_s0,pr150,0,0.6059085564448267,0.36885378939759916,0.4168880193326518,3.0,1.49
pr150_s1,pr150,1,0.593799016189556,0.35528353845559685,0.563863697705803,3.0,1.51
pr150_s2,pr150,2,0.6285267085912328,0.3791168423117332,0.5230067523492181,3.0,1.51
pr175_hlr_s0,pr175_hlr,0,0.5095121399701411,0.2950232725327056,0.4862464985994397,2.53,1.08
pr175_hlr_s1,pr175_hlr,1,0.43163225610523925,0.2451632307396232,0.4529551920341394,2.5,1.07
pr175_hlr_s2,pr175_hlr,2,0.4838318061592563,0.27095935155253315,0.5622727272727273,2.49,1.07
pr175_s0,pr175,0,0.47736242155646963,0.25958084400040626,0.4587092731829574,2.53,1.08
pr175_s1,pr175,1,0.4433384047325685,0.24037268627659897,0.41954816962950114,2.5,1.07
pr175_s2,pr175,2,0.451871673137446,0.2607705052503856,0.41717668378133493,2.49,1.07
pr200_hlr_s0,pr200_hlr,0,0.3517372264019257,0.17860103032601352,0.33265571325671794,2.25,0.92
pr200_hlr_s1,pr200_hlr,1,0.33970226611284804,0.17122475281943267,0.45745640275148475,2.26,0.93
pr200_hlr_s2,pr200_hlr,2,0.4003626727273509,0.2163251331907317,0.5183904330963154,2.25,0.93
pr200_s0,pr200,0,0.288806286184485,0.13951380304057176,0.34546202184312125,2.25,0.92
pr200_s1,pr200,1,0.2718545627449082,0.1446236364036461,0.41968679849562196,2.26,0.93
pr200_s2,pr200,2,0.3005682618404627,0.14922047027924062,0.39780509926248375,2.25,0.93
