condition,seeds,all_mean,Birdnest_mean,Broken_Insulator_mean,Defective_Damper_mean,Flashover_Insulator_mean,Normal_Damper_mean,Normal_Insulators_mean,Self-Exploded_Insulator_mean,all_std,Birdnest_std,Broken_Insulator_std,Defective_Damper_std,Flashover_Insulator_std,Normal_Damper_std,Normal_Insulators_std,Self-Exploded_Insulator_std
ABnew_v8,1,0.806,0.867,0.788,0.682,0.74,0.809,0.842,0.91,0,0,0,0,0,0,0,0
CPRest1280,3,0.8023,0.9737,0.681,0.6927,0.68,0.8263,0.8573,0.9073,0.0153,0.0086,0.0087,0.0499,0.0165,0.0308,0.0015,0.0258
HROaugnc_v11,3,0.7837,0.984,0.6987,0.6223,0.66,0.8133,0.838,0.8713,0.011,0.0044,0.029,0.0731,0.0241,0.0188,0.0132,0.0265
HR768nc,3,0.7687,0.979,0.6587,0.6703,0.6227,0.8093,0.8387,0.802,0.0091,0.0131,0.0349,0.0488,0.0249,0.009,0.0225,0.0288
AUGcm20,3,0.7673,0.9833,0.6267,0.7083,0.6037,0.8013,0.8387,0.8103,0.0029,0.015,0.029,0.0514,0.0204,0.0234,0.0215,0.0351
OBBnc_champ_v11,3,0.765,0.9503,0.846,0.7677,0.6807,0.7667,0.7243,0.621,0.0148,0.0025,0.0487,0.0331,0.0251,0.0197,0.0266,0.0676
ABold_v11,2,0.764,0.8355,0.639,0.7355,0.651,0.841,0.769,0.8785,0.0057,0.012,0.1103,0.0191,0.0255,0.0071,0.0226,0.0417
HROaug_v5,3,0.7617,0.815,0.498,0.718,0.64,0.816,0.771,0.869,0.0249,0,0,0,0,0,0,0
AUGnoOSdeg10,3,0.7607,0.9597,0.6763,0.618,0.619,0.806,0.8407,0.8053,0.0117,0.0267,0.0369,0.0312,0.034,0.0141,0.0081,0.028
AUGsc07,3,0.7603,0.966,0.697,0.6113,0.5863,0.803,0.83,0.83,0.0238,0.0364,0.0288,0.087,0.0098,0.0061,0.0269,0.0387
TH2_gpu6_lowlr,1,0.76,0.977,0.626,0.642,0.658,0.816,0.828,0.776,0,0,0,0,0,0,0,0
ABnew_v11,2,0.76,0.7825,0.701,0.5885,0.7475,0.794,0.803,0.9035,0.0,0.0389,0.0354,0.0516,0.0403,0.0057,0.0297,0.0163
OSallHRnc_v11,3,0.7597,0.9883,0.6443,0.5413,0.6807,0.785,0.8187,0.8597,0.0064,0.0035,0.0172,0.0196,0.0047,0.0053,0.0201,0.0164
TH2_gpu7,1,0.758,0.986,0.607,0.643,0.644,0.793,0.797,0.836,0,0,0,0,0,0,0,0
ABnew_v5,1,0.758,0.806,0.616,0.628,0.769,0.775,0.818,0.895,0,0,0,0,0,0,0,0
AUGosall768,3,0.757,0.9467,0.683,0.5673,0.6267,0.7733,0.8283,0.8747,0.0149,0.0586,0.0605,0.1133,0.037,0.0172,0.0015,0.008
OSall_v8,3,0.7553,0.7943,0.6003,0.7207,0.6813,0.8483,0.7673,0.8733,0.0065,0.0501,0.0611,0.046,0.0301,0.0047,0.015,0.0055
AUGnoOS,3,0.754,0.9643,0.6587,0.5947,0.5807,0.7957,0.841,0.8427,0.0211,0.0403,0.051,0.0908,0.0302,0.0136,0.0087,0.0434
AUGsc05,3,0.753,0.9683,0.6443,0.6393,0.6183,0.7787,0.8167,0.8073,0.0035,0.0065,0.0158,0.0747,0.0444,0.0064,0.0295,0.0172
OSall_v11,5,0.7484,0.8056,0.606,0.6832,0.6514,0.8312,0.7666,0.8954,0.0129,0.0136,0.0455,0.038,0.0237,0.0172,0.0072,0.0104
CPRest768,3,0.7473,0.9383,0.6423,0.606,0.59,0.7927,0.8307,0.833,0.012,0.0276,0.0884,0.0393,0.0317,0.021,0.0315,0.008
AUGdeg10,3,0.746,0.968,0.6487,0.566,0.5997,0.7943,0.8053,0.8383,0.0135,0.0078,0.0241,0.1025,0.0076,0.017,0.0118,0.0283
Bnc_v11,3,0.7363,0.959,0.6673,0.6143,0.5897,0.7433,0.8257,0.7547,0.0153,0.0104,0.0235,0.082,0.011,0.0235,0.0154,0.0159
AUGnomos,3,0.736,0.9757,0.6617,0.574,0.5997,0.7923,0.81,0.7383,0.0144,0.0233,0.0566,0.0971,0.0304,0.009,0.0092,0.0225
OSall_v5,3,0.736,0.794,0.5523,0.7023,0.6573,0.8307,0.7473,0.8693,0.0135,0.0486,0.0498,0.0306,0.0247,0.011,0.014,0.0188
OBBdeg45,3,0.7303,0.912,0.739,0.7383,0.67,0.7787,0.7063,0.568,0.0067,0.0208,0.021,0.0119,0.0363,0.0319,0.0212,0.0832
AUGdeg45,3,0.7287,0.969,0.54,0.6583,0.593,0.802,0.8117,0.726,0.0211,0.0165,0.0814,0.054,0.0036,0.0092,0.0203,0.0335
OBBnc_B_v11,3,0.7143,0.9237,0.691,0.6527,0.6293,0.7557,0.6693,0.678,0.0176,0.0204,0.0815,0.021,0.0155,0.0198,0.0333,0.0358
B_v8,2,0.701,0.797,0.546,0.682,0.609,0.76,0.722,0.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_v5,3,0.678,0.766,0.489,0.616,0.552,0.771,0.756,0.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
