config,class,images,instances,P,R,mAP50,mAP50_95
v5n_sgd_150,all,199,867,0.804,0.63,0.692,0.358
v5n_sgd_150,Birdnest,199,36,0.746,0.722,0.756,0.357
v5n_sgd_150,Broken_Insulator,199,28,0.795,0.393,0.455,0.279
v5n_sgd_150,Defective_Damper,199,39,0.896,0.615,0.69,0.277
v5n_sgd_150,Flashover_Insulator,199,57,0.69,0.491,0.574,0.247
v5n_sgd_150,Normal_Damper,199,349,0.809,0.755,0.801,0.409
v5n_sgd_150,Normal_Insulators,199,278,0.775,0.694,0.745,0.407
v5n_sgd_150,Self-Exploded_Insulator,199,80,0.915,0.738,0.821,0.528
v5n_sgd_300,all,199,867,0.801,0.633,0.692,0.377
v5n_sgd_300,Birdnest,199,36,0.717,0.722,0.756,0.405
v5n_sgd_300,Broken_Insulator,199,28,0.829,0.393,0.475,0.319
v5n_sgd_300,Defective_Damper,199,39,0.804,0.631,0.673,0.248
v5n_sgd_300,Flashover_Insulator,199,57,0.696,0.526,0.581,0.277
v5n_sgd_300,Normal_Damper,199,349,0.82,0.743,0.795,0.414
v5n_sgd_300,Normal_Insulators,199,278,0.774,0.709,0.759,0.427
v5n_sgd_300,Self-Exploded_Insulator,199,80,0.966,0.704,0.807,0.548
v5n_adam_150,all,199,867,0.807,0.574,0.624,0.308
v5n_adam_150,Birdnest,199,36,0.826,0.833,0.809,0.408
v5n_adam_150,Broken_Insulator,199,28,0.715,0.286,0.341,0.198
v5n_adam_150,Defective_Damper,199,39,0.866,0.513,0.571,0.209
v5n_adam_150,Flashover_Insulator,199,57,0.751,0.474,0.502,0.223
v5n_adam_150,Normal_Damper,199,349,0.824,0.629,0.726,0.34
v5n_adam_150,Normal_Insulators,199,278,0.763,0.659,0.706,0.362
v5n_adam_150,Self-Exploded_Insulator,199,80,0.909,0.625,0.711,0.416
v5n_adam_300,all,199,867,0.788,0.585,0.656,0.328
v5n_adam_300,Birdnest,199,36,0.768,0.735,0.787,0.419
v5n_adam_300,Broken_Insulator,199,28,0.581,0.321,0.366,0.201
v5n_adam_300,Defective_Damper,199,39,0.921,0.598,0.655,0.269
v5n_adam_300,Flashover_Insulator,199,57,0.73,0.491,0.592,0.237
v5n_adam_300,Normal_Damper,199,349,0.84,0.648,0.762,0.374
v5n_adam_300,Normal_Insulators,199,278,0.784,0.665,0.725,0.37
v5n_adam_300,Self-Exploded_Insulator,199,80,0.889,0.637,0.705,0.428
v8n_sgd_150,all,199,867,0.774,0.668,0.707,0.41
v8n_sgd_150,Birdnest,34,36,0.784,0.805,0.78,0.443
v8n_sgd_150,Broken_Insulator,19,28,0.562,0.367,0.444,0.346
v8n_sgd_150,Defective_Damper,31,39,0.824,0.667,0.7,0.271
v8n_sgd_150,Flashover_Insulator,20,57,0.776,0.526,0.626,0.31
v8n_sgd_150,Normal_Damper,90,349,0.813,0.751,0.8,0.446
v8n_sgd_150,Normal_Insulators,99,278,0.756,0.77,0.779,0.467
v8n_sgd_150,Self-Exploded_Insulator,69,80,0.901,0.787,0.819,0.588
v8n_sgd_300,all,199,867,0.801,0.654,0.696,0.406
v8n_sgd_300,Birdnest,34,36,0.781,0.792,0.792,0.461
v8n_sgd_300,Broken_Insulator,19,28,0.703,0.357,0.475,0.375
v8n_sgd_300,Defective_Damper,31,39,0.858,0.59,0.667,0.245
v8n_sgd_300,Flashover_Insulator,20,57,0.745,0.579,0.566,0.276
v8n_sgd_300,Normal_Damper,90,349,0.838,0.743,0.776,0.436
v8n_sgd_300,Normal_Insulators,99,278,0.776,0.784,0.784,0.474
v8n_sgd_300,Self-Exploded_Insulator,69,80,0.907,0.731,0.814,0.576
